Name	Set	ImageFile	Number	Rarity	Type	Health	Attack	Build	Material	W	S	C	Card-Effect|Attack-Name	Flavor-Text	Alt-Art	Foil	Artist	Numeric	Odds	Slot
MEGA DAM.49	PRIME	0049.png	49	R	OBJECTIVE	50	-	2	-	1	1	1	-	WHEN IS A DAM A MEGA DAM? WELL, IT'S WHEN MATT SAYS SO APPARENTLY!	-	-	PAM	3	88	345
MEGA DAM.49	PRIME	0049-Foil.png	49	R	OBJECTIVE	50	-	2	-	1	1	1	-	WHEN IS A DAM A MEGA DAM? WELL, IT'S WHEN MATT SAYS SO APPARENTLY!	-	1	PAM	3	92	345
SUSPENSION JEWEL BRIDGE.50	PRIME	0050.png	50	C	OBJECTIVE	80	-	4	-	1	2	-	-	MADE WITH STEEL AND PRECIOUS STONES, THIS BRIDGE RECEIVED THE FIRST EVER PERFECT BRIDGE REVIEW SCORE.	-	-	BRIAN	1	54	1267
FISH ARCH BRIDGE.51	PRIME	0051.png	51	C	OBJECTIVE	90	-	4	-	1	2	0	-	THE FIRST RE-PLAICE-MENT OF THE ORIGINAL, 5.9 BRIDGE REVIEW SCORING, BRIDGE. BUILT JUST FOR THE HALIBUT! OKAY THAT FISH PUN COD BE BETTER…	-	-	BRIAN	1	54	1267
GOLDEN CABLE-STAYED BRIDGE.52	PRIME	0052.png	52	U	OBJECTIVE	90	-	3	-	0	3	0	-	THE MOST EXPENSIVE BRIDGE EVER MADE, THOUSANDS OF HAND PLACED GOLD BARS CREATE A DIAMOND-SHAPED PILLAR THAT WILL NEVER CORRODE.	-	-	BRIAN	2	86	346
GOLDEN CABLE-STAYED BRIDGE.52	PRIME	0052-Foil.png	52	U	OBJECTIVE	90	-	3	-	0	3	0	-	THE MOST EXPENSIVE BRIDGE EVER MADE, THOUSANDS OF HAND PLACED GOLD BARS CREATE A DIAMOND-SHAPED PILLAR THAT WILL NEVER CORRODE.	-	1	BRIAN	2	90	346
CARROT THROUGH ARCH BRIDGE.53	PRIME	0053.png	53	C	OBJECTIVE	70	-	3	-	3	-	-	-	WHO KNEW THAT CARROTS WERE THE OPTIMAL BRIDGE BUILDING MATERIAL!! JUST MAKE SURE YOU KEEP THE RABBITS AWAY FROM IT!	-	-	BRIAN	1	54	1267
HIGHWAY INTERCHANGE.54	PRIME	0054.png	54	C	OBJECTIVE	80	-	3	-	-	-	3	-	WHETHER YOU'RE INTO HIGHWAY SPAGHETTI OR MAGIC ROUNDABOUTS THERE'S A HIGHWAY INTERCHANGE FOR EVERYONE!	-	-	BRIAN	1	54	1267
STONE WALL BRIDGE.55	PRIME	0055.png	55	C	OBJECTIVE	100	-	2	-	2	0	1	-	THE FIRST BRIDGE BUILT ON THE CHANNEL, MADE FROM STONE WALLS. IT WAS SO STRONG-BUT AGE HAS TAKEN ITS TOLL AND IT HAS NOW BEEN GRAFFITIED…	-	-	BRIAN	1	54	1267
GOLD DAM.56	PRIME	0056.png	56	C	OBJECTIVE	80	-	2	-	2	0	1	-	HOURS OF DIGGING, PANNING AND SMELTING WENT INTO THE ULTIMATE PUN, GOLD DAMN IT WAS A LOT OF WORK!	-	-	BRIAN	1	54	1267
TSUNAMI DEFENDER 3000.57	PRIME	0057.png	57	C	OBJECTIVE	80	-	3	-	0	1	2	-	THIS MAGNIFICENT FEAT OF ENGINEERING WILL LITERALLY SUCK UP ANY TSUNAMI THROWN AT IT. PROTECTING ANY CITY BEHIND IT FROM CERTAIN DESTRUCTION.	-	-	BRIAN	1	54	1267
ROADNATO.58	PRIME	0058.png	58	R	OBJECTIVE	90	-	3	-	2	1	0	-	SOME DESCRIBED THIS AS ARCHITECTURE. BUT IT ACTUALLY ALLOWED A SUFFICIENTLY LONG JOURNEY FOR THE G-WAGONS TO REACH THEIR DESTINATIONS TO GET IT READY FOR THE NEW ARRIVALS.	-	-	LUIGRA	3	88	345
ROADNATO.58	PRIME	0058-Foil.png	58	R	OBJECTIVE	90	-	3	-	2	1	0	-	SOME DESCRIBED THIS AS ARCHITECTURE. BUT IT ACTUALLY ALLOWED A SUFFICIENTLY LONG JOURNEY FOR THE G-WAGONS TO REACH THEIR DESTINATIONS TO GET IT READY FOR THE NEW ARRIVALS.	-	1	LUIGRA	3	92	345
ENGITOPIA.59	PRIME	0059.png	59	B	LOCATION	-	-	-	-	-	-	-	ALL HEALTH IS DOUBLED WHILST THIS CARD IS IN PLAY. ITEMS ARE UNAFFECTED.	THE BLUEPRINT OF THE GREATEST CITY KNOWN TO MAN, WELL, EXCEPT IF YOU'RE AN ARCHITECT!	-	-	SARAHBOODLE	4	94	5
ENGITOPIA.59	PRIME	0059-Foil.png	59	B	LOCATION	-	-	-	-	-	-	-	ALL HEALTH IS DOUBLED WHILST THIS CARD IS IN PLAY. ITEMS ARE UNAFFECTED.	THE BLUEPRINT OF THE GREATEST CITY KNOWN TO MAN, WELL, EXCEPT IF YOU'RE AN ARCHITECT!	-	1	SARAHBOODLE	4	96	5
ENGITOPIA.60	PRIME	0060.png	60	R	LOCATION	-	-	-	-	-	-	-	ALL HEALTH IS DOUBLED WHILST THIS CARD IS IN PLAY. ITEMS ARE UNAFFECTED.	WE HAVE HARNESSED UNLIMITED POWER FROM THE SEWAGE OF OUR RESIDENTS.	-	-	BRIAN	3	88	345
ENGITOPIA.60	PRIME	0060-Foil.png	60	R	LOCATION	-	-	-	-	-	-	-	ALL HEALTH IS DOUBLED WHILST THIS CARD IS IN PLAY. ITEMS ARE UNAFFECTED.	WE HAVE HARNESSED UNLIMITED POWER FROM THE SEWAGE OF OUR RESIDENTS.	-	1	BRIAN	3	92	345
THE SHAFT.61	PRIME	0061.png	61	B	LOCATION	-	-	-	-	-	-	-	EVERYONE DRAWS +1 CARD AT THE START OF THEIR TURN WHILST THIS CARD IS IN PLAY (PLAYER THAT PLAYED THIS CARD DRAWS A CARD WHEN IT IS PLAYED)	THE BLUEPRINT OF THE GREATEST ENGINEERING FEAT EVER ATTEMPTED BY BEAVERS. A TRUE MARVEL AND WONDER OF THE BEAVER WORLD.	-	-	SARAHBOODLE	4	94	5
THE SHAFT.61	PRIME	0061-Foil.png	61	B	LOCATION	-	-	-	-	-	-	-	EVERYONE DRAWS +1 CARD AT THE START OF THEIR TURN WHILST THIS CARD IS IN PLAY (PLAYER THAT PLAYED THIS CARD DRAWS A CARD WHEN IT IS PLAYED)	THE BLUEPRINT OF THE GREATEST ENGINEERING FEAT EVER ATTEMPTED BY BEAVERS. A TRUE MARVEL AND WONDER OF THE BEAVER WORLD.	-	1	SARAHBOODLE	4	96	5
THE SHAFT.62	PRIME	0062.png	62	R	LOCATION	-	-	-	-	-	-	-	EVERYONE DRAWS +1 CARD AT THE START OF THEIR TURN WHILST THIS CARD IS IN PLAY (PLAYER THAT PLAYED THIS CARD DRAWS A CARD WHEN IT IS PLAYED).	AN ARCHITECTURAL CONCEPT BROUGHT TO LIFE USING THE POWER OF ENGINEERING (AND A LOT OF BEAVER LIVES).	-	-	BRIAN	3	88	345
THE SHAFT.62	PRIME	0062-Foil.png	62	R	LOCATION	-	-	-	-	-	-	-	EVERYONE DRAWS +1 CARD AT THE START OF THEIR TURN WHILST THIS CARD IS IN PLAY (PLAYER THAT PLAYED THIS CARD DRAWS A CARD WHEN IT IS PLAYED).	AN ARCHITECTURAL CONCEPT BROUGHT TO LIFE USING THE POWER OF ENGINEERING (AND A LOT OF BEAVER LIVES).	-	1	BRIAN	3	92	345
EDITING BASEMENT.63	PRIME	0063.png	63	B	LOCATION	-	-	-	-	-	-	-	ALL ENGINEER BUILD STATS ARE DOUBLED WHILST THIS CARD IS IN PLAY. ITEMS ARE UNAFFECTED	THE BLUEPRINT OF HOW TO KEEP A SUCCESSFUL YOUTUBE CHANNEL RUNNING. PLEASE NOTE THAT GRUEL IS NOT INCLUDED.	-	-	SARAHBOODLE	4	94	5
EDITING BASEMENT.63	PRIME	0063-Foil.png	63	B	LOCATION	-	-	-	-	-	-	-	ALL ENGINEER BUILD STATS ARE DOUBLED WHILST THIS CARD IS IN PLAY. ITEMS ARE UNAFFECTED	THE BLUEPRINT OF HOW TO KEEP A SUCCESSFUL YOUTUBE CHANNEL RUNNING. PLEASE NOTE THAT GRUEL IS NOT INCLUDED.	-	1	SARAHBOODLE	4	96	5
EDITING BASEMENT.64	PRIME	0064.png	64	R	LOCATION	-	-	-	-	-	-	-	ALL ENGINEER BUILD STATS ARE DOUBLED WHILST THIS CARD IS IN PLAY. ITEMS ARE UNAFFECTED	IT MIGHT BE DARK, COLD AND DAMP BUT MAGIC IS MADE HERE.	-	-	CY	3	88	345
EDITING BASEMENT.64	PRIME	0064-Foil.png	64	R	LOCATION	-	-	-	-	-	-	-	ALL ENGINEER BUILD STATS ARE DOUBLED WHILST THIS CARD IS IN PLAY. ITEMS ARE UNAFFECTED	IT MIGHT BE DARK, COLD AND DAMP BUT MAGIC IS MADE HERE.	-	1	CY	3	92	345
IRON MAIDEN.65	PRIME	0065.png	65	C	LOCATION	-	-	-	-	-	-	-	ITEM CARDS CAN BE USED TWICE (BUT ONLY ONCE PER ROUND) BEFORE DISCARDING WHILST THIS CARD IS IN PLAY.	THE LAUNDROMAT WHERE DREAMS (AND PROFITS) ARE MADE.	-	-	CY	1	54	1267
PAWNHUB.66	PRIME	0066.png	66	C	LOCATION	-	-	-	-	-	-	-	WHILST THIS CARD IS IN PLAY, ONCE PER TURN YOU CAN DRAW 2 EXTRA CARDS WHEN YOU DISCARD AT LEAST ONE CARD FROM YOUR HAND.	SELL YOUR OLD ITEMS AT THE PAWNHUB FOR A PROFIT, BUT PLEASE DON'T DRIVE YOUR VEHICLE INSIDE!	-	-	CY	1	54	1267
THE WORLD OF ENGINEERING.67	PRIME	0067.png	67	U	LOCATION	-	-	-	-	-	-	-	ALL CARDS IN HAND MUST BE HELD UPSIDE DOWN WHILST THIS CARD IS IN PLAY.	A THEME PARK DESIGNED BY AN ENGINEER THAT THE BEST BUILDERS IN THE COMMUNITY HELPED BRING TO LIFE.	-	-	CY	2	86	346
THE WORLD OF ENGINEERING.67	PRIME	0067-Foil.png	67	U	LOCATION	-	-	-	-	-	-	-	ALL CARDS IN HAND MUST BE HELD UPSIDE DOWN WHILST THIS CARD IS IN PLAY.	A THEME PARK DESIGNED BY AN ENGINEER THAT THE BEST BUILDERS IN THE COMMUNITY HELPED BRING TO LIFE.	-	1	CY	2	90	346
ONE TILE CITY.68	PRIME	0068.png	68	C	LOCATION	-	-	-	-	-	-	-	WHILST THIS CARD IS IN PLAY, EXACTLY 2 CARDS MUST BE PLAYED PER TURN. IF YOU HAVE LESS THAN 2 CARDS IN YOUR HAND THEN DRAW A CARD AND MISS A TURN.	A PERFECT CITY. IN A PERFECT SQUARE.	-	-	BRIAN	1	54	1267
MATT, DESTROYER OF ARCHITECTS.69	PRIME	0069.png	69	R	ENGINEER	69	69	2	WOOD	1	-	-	NOICE! *FLIP A COIN AND DISCARD THIS ENGINEER CARD IF UNSUCCESSFUL (NOT NOICE).	THE 69TH CARD! CLICK, NOICE! EARLY ESTIMATES SHOW THAT MATT HAS HELPED DESTROY AROUND 69% OF ARCHITECTS IN THE WORLD. A TRUE HERO.	-	-	BRIAN	3	88	345
MATT, DESTROYER OF ARCHITECTS.69	PRIME	0069-Foil.png	69	R	ENGINEER	69	69	2	WOOD	1	-	-	NOICE! *FLIP A COIN AND DISCARD THIS ENGINEER CARD IF UNSUCCESSFUL (NOT NOICE).	THE 69TH CARD! CLICK, NOICE! EARLY ESTIMATES SHOW THAT MATT HAS HELPED DESTROY AROUND 69% OF ARCHITECTS IN THE WORLD. A TRUE HERO.	-	1	BRIAN	3	92	345
STAIR CITY.70	PRIME	0070.png	70	C	LOCATION	-	-	-	-	-	-	-	WHILST THIS CARD IS IN PLAY, PICK AN IN-PLAY ENGINEER AND DOUBLE THEIR ATTACK AND BUILD STATS. IF MORE THAN ONE ENGINEER IS IN PLAY THEN PICK ANOTHER ENGINEER AND HALVE THEIR ATTACK AND BUILD STATS, ITEMS, AND ALL OTHER IN-PLAY ENGINEERS, ARE UNAFFECTED.	DYSTOPIAN LIVING HAS ARRIVED.	-	-	BRIAN	1	54	1267
SUPER HAPPY FUN LAND.71	PRIME	0071.png	71	U	LOCATION	-	-	-	-	-	-	-	CHOOSE ONE ENGINEER TO BANISH TO SUPER HAPPY FUN LAND, BANISHED ENGINEERS MUST BE TAPPED AND CANNOT BE USED WHILST THIS CARD IS IN PLAY.	SOMETIMES PLACE NAMES ARE NOT ACCURATE.	-	-	CY	2	86	346
SUPER HAPPY FUN LAND.71	PRIME	0071-Foil.png	71	U	LOCATION	-	-	-	-	-	-	-	CHOOSE ONE ENGINEER TO BANISH TO SUPER HAPPY FUN LAND, BANISHED ENGINEERS MUST BE TAPPED AND CANNOT BE USED WHILST THIS CARD IS IN PLAY.	SOMETIMES PLACE NAMES ARE NOT ACCURATE.	-	1	CY	2	90	346
ARCHITECT ISLAND.72	PRIME	0072.png	72	U	LOCATION	-	-	-	-	-	-	-	WHILST THIS CARD IS IN PLAY EVERY PLAYER MUST WAVE THE CARDS IN THEIR HAND LIKE A FAN UNDER THEIR NOSE ONCE PER TURN. IF A PLAYER FAILS TO WAFT THEIR CARDS, ALL OTHER PLAYERS CAN DRAW AN EXTRA CARD ON THEIR TURN.	A STINKING LANDFILL ISLAND, THE NATURAL HABITAT FOR ARCHITECTS.	-	-	CY	2	86	346
ARCHITECT ISLAND.72	PRIME	0072-Foil.png	72	U	LOCATION	-	-	-	-	-	-	-	WHILST THIS CARD IS IN PLAY EVERY PLAYER MUST WAVE THE CARDS IN THEIR HAND LIKE A FAN UNDER THEIR NOSE ONCE PER TURN. IF A PLAYER FAILS TO WAFT THEIR CARDS, ALL OTHER PLAYERS CAN DRAW AN EXTRA CARD ON THEIR TURN.	A STINKING LANDFILL ISLAND, THE NATURAL HABITAT FOR ARCHITECTS.	-	1	CY	2	90	346
ARCHITECT SLAYER.73	PRIME	0073.png	73	B	ARCHITECT	-	-	-	-	-	-	-	REFLECT ANY ARCHITECT CARD BACK AT THE PLAYER WHO PLAYED IT. (TO BE PLAYED WHEN AN ARCHITECT CARD IS USED AGAINST YOU)	THE BLUEPRINT ENGINEER	-	-	SARAHBOODLE	4	94	5
ARCHITECT SLAYER.73	PRIME	0073-Foil.png	73	B	ARCHITECT	-	-	-	-	-	-	-	REFLECT ANY ARCHITECT CARD BACK AT THE PLAYER WHO PLAYED IT. (TO BE PLAYED WHEN AN ARCHITECT CARD IS USED AGAINST YOU)	THE BLUEPRINT ENGINEER	-	1	SARAHBOODLE	4	96	5
ARCHITECT SLAYER.74	PRIME	0074.png	74	R	ARCHITECT	-	-	-	-	-	-	-	REFLECT ANY ARCHITECT CARD BACK AT THE PLAYER WHO PLAYED IT. (TO BE PLAYED WHEN AN ARCHITECT CARD IS USED AGAINST YOU)	THE BLUEPRINT ENGINEER	-	-	TRESKIDDOS	3	88	345
ARCHITECT SLAYER.74	PRIME	0074-Foil.png	74	R	ARCHITECT	-	-	-	-	-	-	-	REFLECT ANY ARCHITECT CARD BACK AT THE PLAYER WHO PLAYED IT. (TO BE PLAYED WHEN AN ARCHITECT CARD IS USED AGAINST YOU)	THE BLUEPRINT ENGINEER	-	1	TRESKIDDOS	3	92	345
REAL CIVIL ARCHITECT.75	PRIME	0075.png	75	U	ARCHITECT	-	-	-	-	-	-	-	DISCARD ONE OPPOSING IN-PLAY ENGINEER CARD, AND ALL ITEMS IT IS HOLDING.	RCE'S MAIN RIVAL. NO, IT'S NOT TYLER, IT'S MUCH WORSE!	-	-	LUIGRA	2	86	346
REAL CIVIL ARCHITECT.75	PRIME	0075-Foil.png	75	U	ARCHITECT	-	-	-	-	-	-	-	DISCARD ONE OPPOSING IN-PLAY ENGINEER CARD, AND ALL ITEMS IT IS HOLDING.	RCE'S MAIN RIVAL. NO, IT'S NOT TYLER, IT'S MUCH WORSE!	-	1	LUIGRA	2	90	346
THE INCIDENT™.76	PRIME	0076.png	76	C	ARCHITECT	-	-	-	-	-	-	-	ONE OPPOSING PLAYER MUST DISCARD THEIR ENTIRE HAND AND REDRAW 6 CARDS INTO THEIR HAND.	WE DON'T TALK ABOUT THE INCIDENT…	-	-	TWITCHYSPARROW	1	54	1267
THE INCIDENT™.76	PRIME	0076-Foil.png	76	C	ARCHITECT	-	-	-	-	-	-	-	ONE OPPOSING PLAYER MUST DISCARD THEIR ENTIRE HAND AND REDRAW 6 CARDS INTO THEIR HAND.	WE DON'T TALK ABOUT THE INCIDENT…	-	1	TWITCHYSPARROW	1	54	1267
PC MELTDOWN.77	PRIME	0077.png	77	C	ARCHITECT	-	-	-	-	-	-	-	CANCEL AN OPPOSING OBJECTIVE THAT IS CURRENTLY BEING BUILT AND DISCARD ALL THE MATERIALS THAT WERE BEING USED TO BUILD IT.	HOW LONG HAS IT BEEN SINCE YOU SAVED YOUR WORK?	-	-	BRIAN	1	54	1267
EXPOSED REBAR.78	PRIME	0078.png	78	C	ARCHITECT	-	-	-	-	-	-	-	REMOVE ALL ITEM CARDS FROM ALL OPPOSING ENGINEERS AND DISCARD THEM.	THE SITE INSPECTION SHOWS THAT ARCHITECTS DESIGNED THE REINFORCED CONCRETE, RUN AS FAST AS YOU CAN AND LEAVE ALL BELONGINGS BEHIND!	-	-	BRIAN	1	54	1267
HARD HAT.79	PRIME	0079.png	79	C	ITEM	-	-	-	-	-	-	-	DOUBLE BUILD STAT	WITHOUT A HARD HAT IT'S JUST A NORMAL BEAVER.	-	-	PAM	1	54	1267
HI-VIS JACKET.80	PRIME	0080.png	80	C	ITEM	-	-	-	-	-	-	-	DOUBLE HEALTH STAT.	WITHOUT A HIGH VISIBILITY JACKET IT'S JUST A NORMAL BEAVER.	-	-	PAM	1	54	1267
NIFFTEA.81	PRIME	0081.png	81	C	ITEM	-	-	-	-	-	-	-	DOUBLE ATTACK STAT.	THE NIFFTEA SPONSORED TEA. NIFFTEA. IS THE ONLY DRINK AN EDITOR IS ALLOWED.	-	-	PAM	1	54	1267
RCE SPACE AGENCY FLAG.82	PRIME	0082.png	82	C	ITEM	-	-	-	-	-	-	-	+3 BUILD	THE RCE SPACE AGENCY INVEST HEAVILY TO PROTECT THEIR TOP SUBCONTRACTOR.	-	-	PAM	1	54	1267
GRUEL.83	PRIME	0083.png	83	C	ITEM	-	-	-	-	-	-	-	+40 HEALTH (+60 HEALTH TO EDITOR ENGINEER CARDS).	THE ONLY FUEL AN EDITOR NEEDS.	-	-	PAM	1	54	1267
ARCHITECT TEARS.84	PRIME	0084.png	84	C	ITEM	-	-	-	-	-	-	-	+40 HEALTH.	PERHAPS THE ONLY DRINK SWEETER THAN NIFFTEA.	-	-	PAM	1	54	1267
FISHNADO.85	PRIME	0085.png	85	C	ITEM	-	-	-	-	-	-	-	DISCARD ANY NUMBER OF CARDS FROM HAND AND REDRAW THE SAME AMOUNT.	THE ORIGINAL 'NADO.	-	-	PAM	1	54	1267
PADDY'S BONE.86	PRIME	0086.png	86	C	ITEM	-	-	-	-	-	-	-	ALL ITEMS HELD BY AN ENGINEER HOLDING THIS ITEM CAN BE USED 1 EXTRA TURN.	THE MOST IMPORTANT ITEM TO PADDY.	-	-	PAM	1	54	1267
BRIDGE REVIEW.87	PRIME	0087.png	87	C	ITEM	-	-	-	-	-	-	-	+20 ATTACK AND +1 BUILD.	IF THERE'S A BRIDGE, IT MUST BE REVIEWED - CUE THE 80'S MUSIC!	-	-	PAM	1	54	1267
COW GANG.88	PRIME	0088.png	88	C	ITEM	-	-	-	-	-	-	-	+10 ATTACK AND +2 BUILD.	IF YOU SEE A COW, THEN YOU ARE PART OF COW GANG.	-	-	PAM	1	54	1267
THE SECOND STRONGEST SHAPE.89	PRIME	0089.png	89	C	ITEM	-	-	-	-	-	-	-	+3 BUILD.	A GOOD ENGINEER KNOWS THE TRIANGLE IS THE SECOND STRONGEST SHAPE.	-	-	PAM	1	54	1267
INFINITE STAIRS.90	PRIME	0090.png	90	C	ITEM	-	-	-	-	-	X	-	ALL STEEL REQUIREMENTS ARE REMOVED FROM AN OBJECTIVE.	THESE STAIRS GOT US TO SPACE, NOW WE CAN REUSE THEIR MATERIALS.	-	-	PAM	1	54	1267
TESLA VALVE.91	PRIME	0091.png	91	C	ITEM	-	-	-	-	X	-	-	ALL WOOD REQUIREMENTS ARE REMOVED FROM AN OBJECTIVE.	IF WE USE THIS WE DON'T NEED A DAM TO STOP THE FLOW OF WATER.	-	-	PAM	1	54	1267
BOOSH TAX.92	PRIME	0092.png	92	C	ITEM	-	-	-	-	-	-	X	ALL CONCRETE REQUIREMENTS ARE REMOVED FROM AN OBJECTIVE.	IF YOU BOOSH THAT OFTEN THERE WILL BE A PRICE TO PAY THE EDITORS.	-	-	PAM	1	54	1267
STORY TIME WITH MATT.93	PRIME	0093.png	93	C	ITEM	-	-	-	-	-	-	-	+10 ATTACK AND +2 BUILD.	GATHER ROUND KIDS, IT'S TIME FOR A STORY.	-	-	PAM	1	54	1267
BOOSH.94	PRIME	0094.png	94	C	ITEM	-	-	-	-	-	-	-	+30 ATTACK.	SHOUTING BOOSH ALWAYS ADDS MORE POWER.	-	-	ZOMBIESMASHER	1	54	1267
HIGH PRIORITIZE.95	PRIME	0095.png	95	C	ITEM	-	-	-	-	-	-	-	DRAW +2 CARDS.	IF EVERYTHING IS HIGH PRIORITIZED, NOTHING IS HIGH PRIORITIZED.	-	-	PAM	1	54	1267
GOLDEN HARD HAT.96	PRIME	0096.png	96	U	ITEM	-	-	-	-	-	-	-	PROTECT THE WEARER FROM 1 ATTACK. DISCARD AFTER THE ATTACK.	IT'S GOLDEN, SO IT MUST BE BETTER RIGHT?	-	-	PAM	2	86	346
GOLDEN HARD HAT.96	PRIME	0096-Foil.png	96	U	ITEM	-	-	-	-	-	-	-	PROTECT THE WEARER FROM 1 ATTACK. DISCARD AFTER THE ATTACK.	IT'S GOLDEN, SO IT MUST BE BETTER RIGHT?	-	1	PAM	2	90	346
WOOD.97	PRIME	0097.png	97	C	MATERIAL	-	-	-	-	1	-	-	-	-	-	-	PAM	1	54	1267
STEEL.98	PRIME	0098.png	98	C	MATERIAL	-	-	-	-	-	1	-	-	-	-	-	PAM	1	54	1267
CONCRETE.99	PRIME	0099.png	99	C	MATERIAL	-	-	-	-	-	-	1	-	-	-	-	PAM	1	54	1267
MATT AND PADDY.100	PRIME	0100.png	100	R	ENGINEER	90	10	3	STEEL	-	-	-	BEST FRIENDS	THE ULTIMATE COMBO, THOUGH EVERYONE KNOWS PADDY PROVIDES THE BRAINS BEHIND THE TEAM (MATT JUST PROVIDES THE LOOKS… AND HUMOR, AND INTEGRITY, AND MODESTY!)	-	-	OXI	3	88	345
MATT AND PADDY.100	PRIME	0100-Foil.png	100	R	ENGINEER	90	10	3	STEEL	-	-	-	BEST FRIENDS	THE ULTIMATE COMBO, THOUGH EVERYONE KNOWS PADDY PROVIDES THE BRAINS BEHIND THE TEAM (MATT JUST PROVIDES THE LOOKS… AND HUMOR, AND INTEGRITY, AND MODESTY!)	-	1	OXI	3	92	345
THUMBNAIL ARTIST CARL.101	PRIME	0101.png	101	R	ENGINEER	70	20	3	WOOD	-	-	-	SKETCHNADO	ADDING VIBRANCY AND COLOUR TO THE REAL CIVIL ENGINEER, WHILST SHOWING PADDY AS THE MISCHIEVOUS PUP HE IS.	-	-	ISEKAIFLORY	3	88	345
THUMBNAIL ARTIST CARL.101	PRIME	0101-Foil.png	101	R	ENGINEER	70	20	3	WOOD	-	-	-	SKETCHNADO	ADDING VIBRANCY AND COLOUR TO THE REAL CIVIL ENGINEER, WHILST SHOWING PADDY AS THE MISCHIEVOUS PUP HE IS.	-	1	ISEKAIFLORY	3	92	345
PROTOTYPE.102	PRIME	0102.png	102	R	ITEM	-	-	-	-	-	-	-	+4 BUILD	-	-	-	MATT	3	88	345
PROTOTYPE.102	PRIME	0102-Foil.png	102	R	ITEM	-	-	-	-	-	-	-	+4 BUILD	-	-	1	MATT	3	92	345
